GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059021823,06059021823,"Census Tract 218.23, Orange County, California",125250,14697
1400000US06059021824,06059021824,"Census Tract 218.24, Orange County, California",154868,17148
1400000US06059021825,06059021825,"Census Tract 218.25, Orange County, California",121250,30974
1400000US06059021826,06059021826,"Census Tract 218.26, Orange County, California",73911,8927
1400000US06059021827,06059021827,"Census Tract 218.27, Orange County, California",111000,32213
1400000US06059021828,06059021828,"Census Tract 218.28, Orange County, California",176513,25376
1400000US06059021829,06059021829,"Census Tract 218.29, Orange County, California",175375,28705
1400000US06059021830,06059021830,"Census Tract 218.30, Orange County, California",144861,26252
1400000US06059021903,06059021903,"Census Tract 219.03, Orange County, California",98922,11821
1400000US06059021905,06059021905,"Census Tract 219.05, Orange County, California",118477,13832
1400000US06059021912,06059021912,"Census Tract 219.12, Orange County, California",162311,21238
1400000US06059021913,06059021913,"Census Tract 219.13, Orange County, California",70897,10700
1400000US06059021914,06059021914,"Census Tract 219.14, Orange County, California",103026,24283
1400000US06059021915,06059021915,"Census Tract 219.15, Orange County, California",118438,11926
1400000US06059021916,06059021916,"Census Tract 219.16, Orange County, California",107738,13994
1400000US06059021917,06059021917,"Census Tract 219.17, Orange County, California",147386,37574
1400000US06059021918,06059021918,"Census Tract 219.18, Orange County, California",92873,6893
1400000US06059021919,06059021919,"Census Tract 219.19, Orange County, California",125852,13263
1400000US06059021920,06059021920,"Census Tract 219.20, Orange County, California",125758,9090
1400000US06059021921,06059021921,"Census Tract 219.21, Orange County, California",161587,26759
1400000US06059021922,06059021922,"Census Tract 219.22, Orange County, California",89699,18914
1400000US06059021923,06059021923,"Census Tract 219.23, Orange County, California",140102,14247
1400000US06059021924,06059021924,"Census Tract 219.24, Orange County, California",120341,21209
1400000US06059032002,06059032002,"Census Tract 320.02, Orange County, California",133674,13694
1400000US06059032003,06059032003,"Census Tract 320.03, Orange County, California",118214,10916
