GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US06059042338,06059042338,"Census Tract 423.38, Orange County, California",4817,343,3996,336,0,12,45,45,692,164,84,45
1400000US06059042339,06059042339,"Census Tract 423.39, Orange County, California",3678,288,3021,291,14,23,31,29,360,111,252,140
1400000US06059052404,06059052404,"Census Tract 524.04, Orange County, California",872,278,597,189,5,9,14,20,127,76,129,87
1400000US06059052408,06059052408,"Census Tract 524.08, Orange County, California",6618,431,5358,508,24,37,141,77,622,209,473,237
1400000US06059052410,06059052410,"Census Tract 524.10, Orange County, California",5348,546,4037,571,38,121,13,27,832,297,428,166
1400000US06059052411,06059052411,"Census Tract 524.11, Orange County, California",5412,317,3675,340,0,17,55,59,670,208,1012,325
1400000US06059052415,06059052415,"Census Tract 524.15, Orange County, California",4204,240,3579,219,0,12,19,19,447,138,159,94
1400000US06059052416,06059052416,"Census Tract 524.16, Orange County, California",4385,391,3129,234,0,12,26,36,553,157,677,314
1400000US06059052417,06059052417,"Census Tract 524.17, Orange County, California",10888,598,5951,574,18,30,190,117,2743,347,1986,420
1400000US06059052418,06059052418,"Census Tract 524.18, Orange County, California",19452,1011,10523,984,32,55,322,208,5579,718,2996,699
1400000US06059052419,06059052419,"Census Tract 524.19, Orange County, California",3556,189,2530,183,15,22,37,23,808,122,166,82
1400000US06059052420,06059052420,"Census Tract 524.20, Orange County, California",24036,1729,12825,1504,23,38,407,261,6883,1026,3898,1528
1400000US06059052421,06059052421,"Census Tract 524.21, Orange County, California",5790,358,3812,372,0,17,64,39,1085,194,829,259
1400000US06059052422,06059052422,"Census Tract 524.22, Orange County, California",4865,327,3701,344,9,13,91,72,622,149,442,149
1400000US06059052423,06059052423,"Census Tract 524.23, Orange County, California",6224,428,4427,426,22,36,56,53,708,222,1011,408
1400000US06059052424,06059052424,"Census Tract 524.24, Orange County, California",5103,421,3846,412,65,67,78,59,644,146,470,214
1400000US06059052425,06059052425,"Census Tract 524.25, Orange County, California",6458,525,4912,453,114,94,35,47,762,302,635,295
